0			1
0.05			1.0011
0.1			1.00369
0.15			1.01028
0.2			1.02521
0.25			1.05496
0.3			1.10711
0.35			1.18767
0.4			1.29749
0.45			1.42967
0.5			1.57023
0.55			1.70219
0.6			1.81115
0.65			1.88918
0.7			1.93475
0.75			1.94957
0.8			1.93475
0.85			1.88918
0.9			1.81115
0.95			1.70219
1			1.57023
1.05			1.42967
1.1			1.29749
1.15			1.18767
1.2			1.10711
1.25			1.05496
1.3			1.02521
1.35			1.01028
1.4			1.00371
1.45			1.00118
1.5			1.00033
1.55			1.00008
1.6			1.00002
1.65			1
1.7			1
1.75			1
1.8			1
1.85			1
1.9			1
1.95			1
2			1
